Date	Livret Vie	Multi Vie	Cash sur Fortuneo	Linxea Spirit 2	SCPI	Total		
01/08/2024	100.00 €	30,000.00 €	15,000.00 €	2,000.00 €	14,000.00 €	61,100.00 €	
01/09/2024	102.50 €	30,400.00 €	15,050.00 €	2,020.00 €	14,050.00 €	61,622.50 €	
01/10/2024	105.00 €	30,800.00 €	15,100.00 €	2,040.00 €	14,100.00 €	62,145.00 €	
01/11/2024	107.50 €	31,200.00 €	15,150.00 €	2,060.00 €	14,150.00 €	62,667.50 €	
01/12/2024	110.00 €	31,600.00 €	15,200.00 €	2,080.00 €	14,200.00 €	63,190.00 €	
01/01/2025	112.50 €	32,000.00 €	15,250.00 €	2,100.00 €	14,250.00 €	63,712.50 €	
01/02/2025	115.00 €	32,400.00 €	15,300.00 €	2,120.00 €	14,300.00 €	64,235.00 €	
01/03/2025	117.50 €	32,800.00 €	15,350.00 €	2,140.00 €	14,350.00 €	64,757.50 €	
01/04/2025	120.00 €	33,200.00 €	15,400.00 €	2,160.00 €	14,400.00 €	65,280.00 €	
01/05/2025	122.50 €	33,600.00 €	15,450.00 €	2,180.00 €	14,450.00 €	65,802.50 €	
01/06/2025	125.00 €	34,000.00 €	15,500.00 €	2,200.00 €	14,500.00 €	66,325.00 €	
01/07/2025	127.50 €	34,400.00 €	15,550.00 €	2,220.00 €	14,550.00 €	66,847.50 €	
01/08/2025	130.00 €	34,800.00 €	15,600.00 €	2,240.00 €	14,600.00 €	67,370.00 €	
01/09/2025	132.50 €	35,200.00 €	15,650.00 €	2,260.00 €	14,650.00 €	67,892.50 €	
01/10/2025	135.00 €	35,600.00 €	15,700.00 €	2,280.00 €	14,700.00 €	68,415.00 €	
01/11/2025	137.50 €	36,000.00 €	15,750.00 €	2,300.00 €	14,750.00 €	68,937.50 €	
01/12/2025	140.00 €	36,400.00 €	15,800.00 €	2,320.00 €	14,800.00 €	69,460.00 €	
01/01/2026	142.50 €	36,800.00 €	15,850.00 €	2,340.00 €	14,850.00 €	69,982.50 €	
01/02/2026	145.00 €	37,200.00 €	15,900.00 €	2,360.00 €	14,900.00 €	70,505.00 €	
01/03/2026	147.50 €	37,600.00 €	15,950.00 €	2,380.00 €	14,950.00 €	71,027.50 €	
01/04/2026	150.00 €	38,000.00 €	16,000.00 €	2,400.00 €	15,000.00 €	71,550.00 €	
01/05/2026	152.50 €	38,400.00 €	16,050.00 €	2,420.00 €	15,050.00 €	72,072.50 €	
01/06/2026	155.00 €	38,800.00 €	16,100.00 €	2,440.00 €	15,100.00 €	72,595.00 €	
01/07/2026	157.50 €	39,200.00 €	16,150.00 €	2,460.00 €	15,150.00 €	73,117.50 €	
01/08/2026	160.00 €	39,600.00 €	16,200.00 €	2,480.00 €	15,200.00 €	73,640.00 €	
